Song,Artist,Genre,Album,Rating,Review,Release Date
Attention,Dua Lipa,Pop,Platinum Records,3.1,A masterpiece with incredible lyrics!,2014-09-21
7 Rings,Camila Cabello,Metal,Platinum Records,4.8,A true chart-topper!,2001-06-16
Blinding Lights,Taylor Swift,Trap,Essential Collection,3.1,A true chart-topper!,2022-03-03
Can't Stop the Feeling,Imagine Dragons,Grunge,Platinum Records,3.1,A must-listen for all music lovers!,2021-06-03
Bohemian Rhapsody,Queen,Jazz,Unplugged,3.6,A masterpiece with incredible lyrics!,2023-05-19
Chandelier,Michael Jackson,Classical,Greatest Songs,3.5,Fantastic melody and vocals.,2008-12-01
What Makes You Beautiful,The Chainsmokers,Electronic,Greatest Songs,4.4,A masterpiece with incredible lyrics!,2022-10-16
Shallow,Shawn Mendes,Reggae,Top Chart,4.6,A great beat with meaningful lyrics.,2013-12-25
Take Me to Church,Adele,Disco,Golden Era,3.8,A must-listen for all music lovers!,2004-07-07
Shake It Off,BTS,Punk,Unplugged,4.4,Timeless classic!,2021-08-10
Shallow,Nirvana,Reggae,Unplugged,4.8,This song never gets old!,2017-12-22
Savage Love,Coldplay,Soul,Unplugged,4.2,Fantastic melody and vocals.,2009-06-08
Savage Love,One Direction,Metal,Platinum Records,3.2,A true chart-topper!,2018-09-14
God's Plan,Drake,Classical,Essential Collection,3.6,Super catchy and emotional.,2004-09-22
"Thank U, Next",BTS,Blues,Greatest Songs,3.3,Fantastic melody and vocals.,2018-06-28
Stay,Bruno Mars,Blues,Greatest Songs,4.2,Timeless classic!,2000-10-02
Thunder,One Direction,Punk,Unplugged,4.7,An absolute banger!,2022-06-19
Someone Like You,Taylor Swift,Soul,Unplugged,4.8,An absolute banger!,2003-02-20
Happier,John Legend,Reggae,Platinum Records,4.3,Fantastic melody and vocals.,2002-09-14
Peaches,One Direction,Hip-Hop,Top Chart,4.3,This song never gets old!,2023-03-24
Bad Guy,Imagine Dragons,Rock,Best Hits,4.0,Fantastic melody and vocals.,2006-04-20
Stay,Ed Sheeran,Electronic,Best Hits,3.5,Timeless classic!,2024-03-27
Chandelier,The Weeknd,Lo-Fi,Unplugged,4.0,An absolute banger!,2005-01-21
Believer,The Beatles,Folk,Best Hits,4.0,Super catchy and emotional.,2015-12-04
Shake It Off,Imagine Dragons,Rock,Top Chart,3.6,Timeless classic!,2010-02-04
Stay,The Beatles,Electronic,Top Chart,4.5,An absolute banger!,2012-10-23
Bad Guy,Sia,Blues,Golden Era,4.0,A great beat with meaningful lyrics.,2021-07-26
We Don't Talk Anymore,Dua Lipa,Lo-Fi,Essential Collection,3.2,An absolute banger!,2013-07-23
Smells Like Teen Spirit,The Chainsmokers,Trap,Best Hits,4.5,A must-listen for all music lovers!,2015-03-28
Roar,Drake,Grunge,Unplugged,4.4,An absolute banger!,2010-03-04
Shallow,The Weeknd,Hip-Hop,Greatest Songs,3.7,A great beat with meaningful lyrics.,2009-06-06
Attention,Ed Sheeran,Pop,Top Chart,4.7,Super catchy and emotional.,2022-07-09
Despacito,John Legend,R&B,Best Hits,3.5,A true chart-topper!,2015-02-06
Hotline Bling,John Legend,Metal,Greatest Songs,4.3,A great beat with meaningful lyrics.,2008-07-07
See You Again,Eminem,Metal,Unplugged,4.7,Timeless classic!,2007-06-21
Stressed Out,Post Malone,Trap,Golden Era,4.4,Fantastic melody and vocals.,2020-02-11
Hotel California,Sia,R&B,Platinum Records,3.2,A true chart-topper!,2014-02-17
Perfect,Post Malone,Disco,Essential Collection,4.0,An absolute banger!,2008-01-20
"Thank U, Next",The Beatles,Jazz,Greatest Songs,3.4,A great beat with meaningful lyrics.,2001-09-02
Without Me,Lady Gaga,Classical,Best Hits,4.3,A masterpiece with incredible lyrics!,2021-06-04
Peaches,Maroon 5,Grunge,Platinum Records,3.9,This song never gets old!,2005-01-17
See You Again,Coldplay,Classical,Platinum Records,3.8,An absolute banger!,2000-01-11
Hotline Bling,The Beatles,Electronic,Golden Era,4.0,A true chart-topper!,2012-05-01
Shape of You,The Chainsmokers,Funk,Golden Era,3.7,A great beat with meaningful lyrics.,2018-10-12
Levitating,Adele,Disco,Platinum Records,4.6,A must-listen for all music lovers!,2002-03-07
Happier,Camila Cabello,House,Best Hits,4.5,A true chart-topper!,2020-10-16
Billie Jean,The Beatles,Metal,Unplugged,4.0,A masterpiece with incredible lyrics!,2005-09-07
Despacito,Shawn Mendes,Trap,Platinum Records,3.6,A masterpiece with incredible lyrics!,2011-02-28
Without Me,Dua Lipa,Funk,Top Chart,4.9,A must-listen for all music lovers!,2021-03-20
See You Again,Ed Sheeran,Classical,Essential Collection,4.4,Super catchy and emotional.,2011-10-06
Believer,Drake,R&B,Top Chart,4.3,This song never gets old!,2014-12-28
Chandelier,Katy Perry,Pop,Greatest Songs,4.7,A must-listen for all music lovers!,2024-03-17
Rockstar,One Direction,Trap,Essential Collection,3.2,A must-listen for all music lovers!,2004-08-01
"Thank U, Next",Camila Cabello,Reggae,Top Chart,3.3,Timeless classic!,2019-01-18
Chandelier,Queen,Rock,Top Chart,4.8,Fantastic melody and vocals.,2003-05-10
Old Town Road,Dua Lipa,Electronic,Golden Era,3.8,Super catchy and emotional.,2003-06-22
Uptown Funk,Queen,Jazz,Unplugged,3.9,Fantastic melody and vocals.,2005-10-17
Radioactive,Maroon 5,Metal,Best Hits,4.2,Super catchy and emotional.,2005-02-16
Sorry,Rihanna,Funk,Unplugged,3.4,Fantastic melody and vocals.,2006-10-05
Stay,Billie Eilish,Hip-Hop,Golden Era,3.8,Timeless classic!,2019-06-15
Memories,The Beatles,Grunge,Greatest Songs,3.1,Super catchy and emotional.,2021-09-27
We Don't Talk Anymore,Nirvana,Punk,Top Chart,3.8,A must-listen for all music lovers!,2012-08-04
Stay,Katy Perry,Hip-Hop,Greatest Songs,4.4,An absolute banger!,2021-09-03
God's Plan,One Direction,Pop,Unplugged,4.9,A true chart-topper!,2010-04-12
Radioactive,Post Malone,R&B,Platinum Records,4.2,A must-listen for all music lovers!,2004-04-27
Havana,Sam Smith,Classical,Top Chart,3.2,A masterpiece with incredible lyrics!,2015-04-26
Blank Space,Taylor Swift,Disco,Platinum Records,3.9,This song never gets old!,2012-01-12
Attention,Adele,Classical,Greatest Songs,3.2,An absolute banger!,2001-08-26
Someone Like You,Sia,Funk,Unplugged,3.2,Fantastic melody and vocals.,2021-12-25
Sugar,Shawn Mendes,Classical,Unplugged,3.0,A true chart-topper!,2018-02-28
7 Rings,BTS,Grunge,Best Hits,3.9,A must-listen for all music lovers!,2016-02-22
Rolling in the Deep,Justin Bieber,Grunge,Greatest Songs,3.5,Super catchy and emotional.,2020-06-17
Montero,Sam Smith,Reggae,Greatest Songs,4.0,A masterpiece with incredible lyrics!,2018-10-23
Hello,Lady Gaga,Grunge,Essential Collection,4.1,This song never gets old!,2017-09-13
Happy,Justin Bieber,Rock,Essential Collection,3.7,Timeless classic!,2024-09-21
Thinking Out Loud,The Chainsmokers,Jazz,Top Chart,3.2,This song never gets old!,2006-05-11
Sorry,Post Malone,Punk,Top Chart,4.1,A must-listen for all music lovers!,2004-08-25
Take Me to Church,Lil Nas X,Grunge,Unplugged,3.7,A great beat with meaningful lyrics.,2006-05-21
Bad Habits,Rihanna,Disco,Essential Collection,3.4,Fantastic melody and vocals.,2013-07-14
Despacito,Imagine Dragons,Pop,Greatest Songs,3.8,A true chart-topper!,2012-02-16
Counting Stars,Post Malone,Folk,Greatest Songs,3.9,Super catchy and emotional.,2000-08-04
Closer,Bruno Mars,Trap,Top Chart,3.7,Timeless classic!,2010-09-16
Thunder,Lady Gaga,Jazz,Top Chart,3.9,A must-listen for all music lovers!,2019-07-10
Attention,Justin Bieber,Grunge,Best Hits,3.7,Timeless classic!,2015-05-25
Memories,Justin Bieber,Jazz,Top Chart,3.1,Fantastic melody and vocals.,2021-12-02
Hotline Bling,Adele,Soul,Platinum Records,3.8,Fantastic melody and vocals.,2016-01-07
Rockstar,Imagine Dragons,Grunge,Best Hits,4.9,This song never gets old!,2002-05-19
Memories,Sia,Jazz,Golden Era,3.4,A great beat with meaningful lyrics.,2023-10-18
Stay,Justin Bieber,Electronic,Top Chart,3.4,A true chart-topper!,2005-11-11
Hello,The Weeknd,Classical,Top Chart,3.4,Fantastic melody and vocals.,2023-01-18
What Makes You Beautiful,John Legend,Folk,Platinum Records,3.6,Timeless classic!,2000-01-10
Hotel California,Rihanna,Lo-Fi,Best Hits,4.2,An absolute banger!,2012-04-12
Memories,Nirvana,Pop,Essential Collection,4.0,A must-listen for all music lovers!,2017-01-27
Cheap Thrills,The Chainsmokers,Grunge,Top Chart,3.2,An absolute banger!,2021-07-24
Memories,John Legend,R&B,Best Hits,3.1,Timeless classic!,2016-09-28
Hotline Bling,The Weeknd,Funk,Unplugged,3.5,This song never gets old!,2005-09-12
Bohemian Rhapsody,Sia,R&B,Best Hits,3.2,Fantastic melody and vocals.,2021-12-02
Happy,Eminem,Metal,Platinum Records,3.2,A great beat with meaningful lyrics.,2006-02-15
Can't Stop the Feeling,The Weeknd,Pop,Platinum Records,4.8,A must-listen for all music lovers!,2005-04-23
Let Her Go,Sam Smith,Electronic,Essential Collection,4.2,This song never gets old!,2010-02-23
Blank Space,The Weeknd,R&B,Golden Era,3.5,An absolute banger!,2006-08-07
Sunflower,Lady Gaga,Country,Greatest Songs,4.1,Super catchy and emotional.,2018-11-20
Chandelier,Drake,Hip-Hop,Greatest Songs,3.6,Fantastic melody and vocals.,2000-01-13
